timestamp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,delta,sequence_id,label
13:05.0,-129.595413,58.152672,64.083969,0.001272,-0.037941,0.003356,0.200319,10,x
13:05.2,-127.183205,-0.984733,-113.946564,0.051878,-0.051634,0.219257,0.199195,10,x
13:05.4,21.221375,11.374045,-166.70993,-0.046276,-0.071525,0.213411,0.203449,10,x
13:05.6,108.824425,7.59542,-35.740459,-0.096585,-0.04357,0.195551,0.198807,10,x
13:05.8,135.549622,30.664122,94.854965,-0.058048,-0.0315,0.120074,0.202683,10,x
13:06.0,26.923664,41.64122,88.908394,0.037562,0.022056,0.014911,0.200077,10,x
13:06.9,5.068702,10.450381,24.083969,-0.07526,0.045762,0.074962,0.922892,11,x
13:07.1,-99.175575,27.412214,15.900764,0.027712,-0.007821,0.061918,0.198822,11,x
13:07.3,-116.267174,0.40458,-124.106873,0.017428,-0.038401,0.21444,0.20093,11,x
13:07.5,16.969465,-26.137405,-152.152664,-0.052013,-0.052419,0.203507,0.202432,11,x
13:07.7,115.702293,-29.061069,15.755725,-0.073149,-0.033449,0.172629,0.201132,11,x
13:07.9,110.366409,28.015266,64.648857,-0.049469,-0.013775,0.106922,0.200298,11,x
13:08.1,14.862596,50.908398,84.618324,-0.007983,0.019593,0.067114,0.200026,11,x
13:08.9,-13.183207,6.412214,76.152672,-0.076965,0.025655,0.073907,0.722696,12,x
13:09.1,-111.541985,42.114502,23.633587,0.102376,-0.00617,0.075043,0.200361,12,x
13:09.3,-108.251907,40.633587,-122.290077,0.071092,-0.031771,0.215414,0.199785,12,x
13:09.5,4.78626,4.824428,-136.916031,-0.056803,-0.036182,0.221692,0.202031,12,x
13:09.7,116.786263,-36.961834,-13.374045,-0.036534,-0.016373,0.149978,0.200529,12,x
13:09.9,94.35878,47.816795,59.389313,-0.032529,-0.004222,0.074285,0.200445,12,x
13:10.1,3.045802,82.389313,47.916031,0.033665,0.037481,0.058508,0.200516,12,x
13:10.9,-16.32061,16.709923,56.274811,-0.086436,0.020459,0.044084,0.823209,13,x
13:11.1,-118.458015,-39.877861,17.091602,0.089224,-0.021135,0.10335,0.200388,13,x
13:11.3,-102.496185,-23.770992,-123.64122,0.060592,-0.039321,0.221692,0.201034,13,x
13:11.5,69.229004,-13.557252,-83.221375,-0.044219,-0.030986,0.213709,0.201332,13,x
13:11.7,112.435112,12.816793,12.167939,-0.068386,-0.022056,0.151304,0.200817,13,x
13:11.9,90.099236,88.435112,72.335876,-0.019404,0.004898,0.10289,0.199679,13,x
13:12.1,-5.40458,7.259542,55.992367,0.065653,0.040539,0.071227,0.200493,13,x
13:12.9,13.038168,28.442749,51,-0.003464,0.020378,0.084244,0.8227,14,x
13:13.1,-87.725189,10.160305,-11.167939,0.099291,-0.013071,0.101375,0.201656,14,x
13:13.3,-96.519081,-7.419847,-111.480919,0.053935,-0.021108,0.221692,0.199695,14,x
13:13.5,36.351147,-21.541985,-112.297707,-0.031257,-0.038942,0.215062,0.19957,14,x
13:13.7,111.572517,16.137405,-13.664123,-0.053881,-0.017915,0.153144,0.202702,14,x
13:13.9,106.854965,38.961834,48.511452,-0.01142,0.002544,0.077262,0.199802,14,x
13:14.1,-21.633587,37.633587,34.038166,0.052527,0.038158,0.04606,0.198819,14,x
13:15.0,25.099237,36.809162,49.34351,-0.058833,0.043056,0.079914,0.92301,15,x
13:15.2,-61.748093,60.862595,49.824429,0.039429,-0.009634,0.075205,0.202592,15,x
13:15.4,-146.610687,18.396946,-51.511452,0.084488,-0.024383,0.173684,0.200634,15,x
13:15.6,-47.954197,-11.526717,-135.908401,0.038861,-0.022705,0.221692,0.199208,15,x
13:15.8,88.541985,-3.29771,-74.251907,-0.027549,-0.018267,0.173928,0.202492,15,x
13:16.0,104.106873,19.29771,16.48855,-0.038834,2.70E-05,0.144078,0.201192,15,x
13:16.2,55.160305,59.0229,51.534351,-0.007929,0.019647,0.061458,0.19985,15,x
13:16.4,-36.931297,3.358779,34.35878,0.068629,0.038645,0.072066,0.200826,15,x
13:17.2,25.267176,47.221375,31.122137,-0.053556,0.038618,0.094798,0.721229,16,x
13:17.4,-84.122139,49.923664,86.763359,0.032096,-0.029714,0.082972,0.200325,16,x
13:17.6,-134.931305,16.687023,-47.091602,0.082485,-0.031203,0.161533,0.201044,16,x
13:17.8,-28.053434,-5.40458,-131.198471,0.020892,-0.039402,0.216902,0.202699,16,x
13:18.0,77.763359,0.175573,-63.229008,-0.027712,-0.034964,0.170464,0.199911,16,x
13:18.2,119.015266,21.778625,12.335877,-0.05177,-0.016724,0.139965,0.201153,16,x
13:18.4,85.160309,25.854961,83.381676,0.012746,0.003708,0.041703,0.198962,16,x
13:18.6,-14.229008,6.442748,22.435114,0.063001,0.039944,0.077722,0.201414,16,x
13:19.3,15.679389,36.030533,52.9771,-0.042433,0.024058,0.082431,0.722615,17,x
13:19.5,-104.053436,-22.938931,72.290077,0.084136,-0.023382,0.099751,0.200926,17,x
13:19.7,-95.916031,1.328244,-90.198471,0.078778,-0.020513,0.221692,0.200946,17,x
13:19.9,4.755725,7.549618,-121.503815,-0.011556,-0.035776,0.210029,0.200643,17,x
13:20.1,102.67939,22.908398,-24.70229,-0.059374,-0.025438,0.164023,0.200329,17,x
13:20.3,90.786263,44.564884,56.610687,-0.049659,-0.01234,0.103161,0.20137,17,x
13:20.5,11.847328,48.251907,40.9771,0.032204,0.027684,0.059212,0.199531,17,x
13:21.4,-12.267176,10.335877,94.854965,-0.009309,0.002977,0.054016,0.921831,18,x
13:21.6,-111.274811,39.351147,-50.35878,0.017293,-0.032123,0.102349,0.203406,18,x
13:21.8,-79.274811,-31.145039,-98.770996,-0.003004,-0.03602,0.213493,0.20029,18,x
13:22.0,49.816795,-13.328244,-114.885498,-0.029498,-0.038861,0.216659,0.197978,18,x
13:22.2,130.847336,16.770992,-10.267176,-0.091659,-0.032447,0.151439,0.200308,18,x
13:22.4,65.740456,45.503819,66.305344,-0.039511,-0.010067,0.05932,0.200666,18,x
13:22.6,-11.389313,25.610687,83.206108,0.055613,0.026629,0.069874,0.203203,18,x
13:23.4,17.412214,19.519083,54.503819,-0.060592,0.028902,0.100076,0.722302,19,x
13:23.6,-114.076332,3.503817,46.580154,0.065382,-0.013829,0.067763,0.199325,19,x
13:23.8,-120.106873,-6,-89.022903,0.052365,-0.045843,0.198879,0.202768,19,x
13:24.0,5.129771,-10.694656,-134.152664,-0.018565,-0.045437,0.221692,0.198249,19,x
13:24.2,137.633591,16.961832,-5.778626,-0.091334,-0.050173,0.155986,0.200551,19,x
13:24.4,107.083969,36.015266,78.740456,-0.033016,-0.030878,0.076748,0.202852,19,x
13:24.6,2.839695,22.328245,58.045803,0.051228,0.034125,0.050633,0.198752,19,x
13:25.3,4.343512,0.465649,43.206108,-0.049821,0.02441,0.091091,0.723371,20,x
13:25.5,-121.206108,37.824429,13.343512,0.010527,-0.019376,0.032907,0.201365,20,x
13:25.7,-99.648857,-4.51145,-102.732826,0.040999,-0.005467,0.221692,0.201027,20,x
13:25.9,11.244275,-0.717557,-141.404587,-0.032231,-0.031013,0.217417,0.198906,20,x
13:26.1,121.022903,18.045801,-7.961832,-0.07258,-0.026061,0.169057,0.202332,20,x
13:26.3,78.175575,40.137405,74.381676,-0.012016,-0.006495,0.063704,0.200185,20,x
13:26.5,6.427481,47.030533,35.450382,0.038185,0.041216,0.094988,0.200669,20,x
13:27.3,15.251908,0.137405,30.526718,-0.061323,0.038645,0.102728,0.8212,21,x
13:27.5,-62.0229,28.396946,68.923668,-0.006089,-0.011095,0.027847,0.202921,21,x
13:27.7,-150.442749,1.992366,-58.709923,0.060078,-0.032393,0.165106,0.200033,21,x
13:27.9,-23.801527,-17.229008,-142.183212,-0.010338,-0.032312,0.221692,0.200533,21,x
13:28.1,97.656487,-0.832061,-30.534351,-0.07231,-0.026115,0.181776,0.19976,21,x
13:28.3,91.96183,37.458015,58.190838,-0.050985,-0.011907,0.118451,0.202168,21,x
13:28.5,40.549618,14.770992,79.206108,0.039673,0.023328,0.05158,0.20061,21,x
13:29.2,9.900764,19.786259,30.29771,-0.052717,0.036209,0.078805,0.719806,22,x
13:29.4,-96.183205,29.167938,40.106869,0.030391,-0.015155,0.035235,0.200999,22,x
13:29.6,-126.702293,-18.335878,-83.519081,0.058373,-0.020594,0.221692,0.199988,22,x
