timestamp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
2025-09-30T12:52:32.752514,-4.587786,5.183206,2.854962,0.011853,-0.00111,0.061404
2025-09-30T12:52:32.944885,-5.78626,-10.625955,52.488548,-0.041676,-0.000135,0.08373
2025-09-30T12:52:33.152724,49.175571,8.045801,45.541985,-0.052771,0.017969,0.160018
2025-09-30T12:52:33.346784,54.717556,12.78626,-62.282444,0.0397,0.023571,0.146406
2025-09-30T12:52:33.556543,-29.229008,-2.503817,-76.587784,0.027712,0.013098,0.066464
2025-09-30T12:52:33.752026,-71.633591,-19.610687,23.175573,-0.017536,-0.009499,0.062053
2025-09-30T12:52:34.810133,-17.67939,-3.206107,16.290077,-0.008362,-0.002814,0.070037
2025-09-30T12:52:35.011734,37.213741,-14.816793,50.175571,-0.046195,0.017861,0.118478
2025-09-30T12:52:35.211458,36.931297,33.664124,-13.732824,-0.001678,0.028415,0.162887
2025-09-30T12:52:35.411749,1.236641,-27.091602,-102.96183,0.050687,0.018592,0.096963
2025-09-30T12:52:35.614348,-57.778625,-1.89313,-22.587786,0.007902,-0.005981,0.067412
2025-09-30T12:52:36.967620,2.946565,-8.885496,46.572517,-0.039051,0.010798,0.092633
2025-09-30T12:52:37.166980,85.801529,22.801527,20.580153,-0.047061,0.027062,0.153821
2025-09-30T12:52:37.359163,46.404579,-7.015267,-79.206108,0.047521,0.030688,0.136691
2025-09-30T12:52:37.572797,-48.824429,-4.137404,-80.28244,0.034288,0.010067,0.063082
2025-09-30T12:52:38.924229,1.679389,-9.053435,-3.274809,0.016833,-0.007415,0.063352
2025-09-30T12:52:39.118730,-10.267176,-15.587787,51.519085,-0.020459,-0.001191,0.077533
2025-09-30T12:52:39.325769,68.389313,-20.396946,49.435116,-0.042758,0.021893,0.12684
2025-09-30T12:52:39.526207,58.114502,35.145039,-48.938931,0.019891,0.036155,0.159341
2025-09-30T12:52:39.726614,-14.679389,-48.61832,-87.870232,0.05269,0.021514,0.081403
2025-09-30T12:52:40.980844,12.137404,4.717557,-7.244275,0.025736,-0.007226,0.07166
2025-09-30T12:52:41.174712,-26.32061,-12.458015,42.908398,-0.020161,0.010717,0.068332
2025-09-30T12:52:41.371279,47.9771,10.236641,51.183205,-0.049659,0.010906,0.139749
2025-09-30T12:52:41.577999,30.38168,22.633587,-49.923664,0.020811,0.024735,0.161182
2025-09-30T12:52:41.771938,-14.992367,-17.580153,-91.664124,0.049984,0.013287,0.067249
2025-09-30T12:52:42.933413,-3.251908,-2.396947,-12.045801,0.040025,-0.004628,0.058671
2025-09-30T12:52:43.128065,-28.732824,-10.21374,45.442749,-0.02533,0.010094,0.073095
2025-09-30T12:52:43.321841,97.923668,5.267176,52.435116,-0.051283,0.024383,0.139965
2025-09-30T12:52:43.530526,26.80916,26.519083,-46.687023,0.02303,0.019647,0.150222
2025-09-30T12:52:43.725057,-51.167938,-18.541985,-89.534348,0.050335,0.013315,0.076992
2025-09-30T12:52:44.888026,-5.206107,-20.198473,7.152672,0.010771,-0.00663,0.045302
2025-09-30T12:52:45.096967,30.786259,-11.679389,54.419846,-0.049361,0.012367,0.093391
2025-09-30T12:52:45.290079,68.938934,32.625954,22.61832,-0.04108,0.019268,0.149761
2025-09-30T12:52:45.498710,23.236641,-12.526717,-71.053436,0.047034,0.023706,0.141832
2025-09-30T12:52:45.692450,-54.503819,-25.442749,-83.290077,0.043678,0.009499,0.066437
2025-09-30T12:52:46.745251,-20.366413,-25.198473,15.229008,-0.005683,-0.004601,0.046601
2025-09-30T12:52:46.950687,69.32061,-8.877863,60.412212,-0.049226,0.008579,0.106868
2025-09-30T12:52:47.147937,45.755726,34.267174,-2.51145,-0.01713,0.025384,0.170626
2025-09-30T12:52:47.354083,41.801525,-29.221375,-94.984734,0.066302,0.021081,0.120589
2025-09-30T12:52:47.547585,-73.755722,-0.793893,-55.572517,0.012016,-0.002057,0.050281
2025-09-30T12:52:48.695097,-8.885496,-11.061069,18.900763,-0.018105,-0.005115,0.048766
2025-09-30T12:52:48.904588,53.259541,10.335877,50.328243,-0.048522,0.012476,0.109141
2025-09-30T12:52:49.097952,56.854961,44.519085,-6.793893,-0.024193,0.028145,0.15899
2025-09-30T12:52:49.307464,19.19084,-23.687023,-95.534348,0.064191,0.02257,0.127002
2025-09-30T12:52:49.508661,-64.587784,-21.160305,-59,0.023706,0.006982,0.053908
2025-09-30T12:52:50.763215,-3.564885,-12.931297,13.847328,-0.005006,-0.000866,0.050552
2025-09-30T12:52:50.960371,61.068703,-8.312977,54.877861,-0.061106,0.013477,0.106327
2025-09-30T12:52:51.165563,58.748093,51.488548,1.641221,-0.038103,0.022516,0.162643
2025-09-30T12:52:51.359935,18.351145,-9.931297,-92.175575,0.053826,0.026142,0.13301
2025-09-30T12:52:51.553682,-61.29771,-15.61832,-59.900764,0.025628,0.008119,0.053258
